processed_text,sentiment
"I want start saying Fred Flare- shipped product fast!! And transaction smooth. I however, extreme problems product itself. The product leather, nylon, sort looks cheap? The inside material sued, that's lining base wallet. Also, The wallet part hard use. You cant really put much wallet- The credit card slots little snug, place I.D. The wallet included small ""note book"" also fit wallet? I excited product, I feel duped. The pictures made wallet seem like higher quality, user friendly, not. I recommend product",negativo
"I say I disappointed I opened package containing iPod wallet. It's cute, $60ish cute. First all, leather, nylon. The lining indeed suede, photos product listing misleading. I'm keeping hassle shipping back, etc. worth it. It job, I expecting. I feel ripped",negativo
I sorry I like I wear big & looks funny me. I wish I gotten it.,negativo
A red star!?!? I bet sell well eastern Europe.,negativo
"Perhaps fault reading closely, failing question somewhat ambiguous product description. The fact is, I thought I would receiving 84 plastic stays (3x28), 28 3 different sizes. At $8.00, seemed like reasonable deal plastic collar stays. What I got, I confess product description could interpreted way, total 28 stays assorted sizes. When add $4.00 I charged shipping (actual US Postal Service postage package $1.84), really poor deal compared available options. About 43 cents plastic collar stay? A bad choice",negativo
THe pants I ordered size small. They true size all. I would recommend item anyone,negativo
"I ordered black one. According photo provided, supposed black white seams, received it, black. Once I put fitted perfectly. But simply difficult put even though right size.",negativo
"Suit small, enough information available site it. I called Amazon, even customer representative sure size. I bought suit suggested, small",negativo
swim suit unsatisfactory looking I even try on. blue striped totally different blue strap go main color suit. Very poor choice grab bag. Taught use grab bag shopping company,negativo
IT advertised NOT IN STOCK I unable get,negativo
"I plenty pairs Doc's best me........... comfy tend little tough break in. As soon I put took ONE STEP ---- right across top shoe nice big crease......... It look nice I ""ticked"" that...........plus I didnt expect laces green maroon colors mixed brown laces...... looks dorky!Plus I manufacturing flaw them. Inside heel seam isnt quite right rubs skin hurts like heck!Hopefully next model I get isnt like thses going back....... Putting now.......",negativo
These body suits awful! When I first saw I really relieved I found something would good summer months. I put twins first wash velcro closure scraped insides delicate little legs! The suits appropriate size washed according label. I disappointed angry. It waste money.,negativo
